Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name
2021,0,12108.721498888848,165.51037568426676,AL,ALABAMA
2021,2,5.419070874963328,18.282693762182102,AZ,ARIZONA
2021,3,40578.13215241114,684.9658624414656,AR,ARKANSAS
2021,4,5219.678115789181,197.31509354026565,CA,CALIFORNIA
2021,5,523261.3218490506,11075.876772948131,CO,COLORADO
2021,6,0.0,0.0,CT,CONNECTICUT
2021,7,8175.345876542377,120.66095261826854,DE,DELAWARE
2021,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
2021,9,1358.480321507249,11.443139973876995,FL,FLORIDA
2021,10,30117.688177158183,426.21287021202113,GA,GEORGIA
2021,12,112242.4883014961,2541.7728750578103,ID,IDAHO
2021,13,210635.39338669128,2089.989547539235,IL,ILLINOIS
2021,14,85676.93251191126,1118.1471182274634,IN,INDIANA
2021,15,778.4566045714503,4.690511926300819,IA,IOWA
2021,16,5356388.34337073,34592.30003951321,KS,KANSAS
2021,17,28920.60040162498,889.722851686669,KY,KENTUCKY
2021,18,9013.055943299132,159.14850981021013,LA,LOUISIANA
2021,19,0.0,0.0,ME,MAINE
2021,20,27205.906902043862,339.51148152986093,MD,MARYLAND
2021,21,0.0,0.0,MA,MASSACHUSETTS
2021,22,13049.873371577589,34.476976077028716,MI,MICHIGAN
2021,23,1453316.9596299105,6123.957782804213,MN,MINNESOTA
2021,24,12715.174761971659,171.1129412360321,MS,MISSISSIPPI
2021,25,73533.2451627909,1263.590163973562,MO,MISSOURI
2021,26,6746347.40492443,36108.968833568506,MT,MONTANA
2021,27,1285685.8851256124,7877.114527602655,NE,NEBRASKA
2021,28,13324.131102729763,1080.6384092232738,NV,NEVADA
2021,29,0.0,0.0,NH,NEW HAMPSHIRE
2021,30,5065.065154372131,76.30130088847845,NJ,NEW JERSEY
2021,31,54044.86638098939,908.2141908262794,NM,NEW MEXICO
2021,32,123.10005038814738,0.988006109674648,NY,NEW YORK
2021,33,53976.463076999804,1173.117515434132,NC,NORTH CAROLINA
2021,34,11519158.32960636,39814.6354621557,ND,NORTH DAKOTA
